taxon,lineage,probability,pangoLEARN_version,status,note
SEARCH-0405-SAN,B.1.267,1.0,2021-04-01,passed_qc,
SEARCH-0407-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0408-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0409-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0410-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0411-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0412-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0413-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0414-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0415-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0416-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0418-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0419-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0421-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0423-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0424-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0425-SAN,A.5,1.0,2021-04-01,passed_qc,
SEARCH-0426-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0428-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0429-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0430-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0431-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0432-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0434-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0435-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0436-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0438-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0439-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0440-SAN,B.1.609,1.0,2021-04-01,passed_qc,
SEARCH-0442-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0443-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0444-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0445-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0447-SAN,B.1.552,1.0,2021-04-01,passed_qc,
SEARCH-0448-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0449-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0450-SAN,B.6,1.0,2021-04-01,passed_qc,
SEARCH-0452-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0453-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0454-SAN,B.6,1.0,2021-04-01,passed_qc,
SEARCH-0455-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0457-SAN,B.1.552,1.0,2021-04-01,passed_qc,
SEARCH-0458-SAN,B.1.552,1.0,2021-04-01,passed_qc,
SEARCH-0459-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0460-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0461-SAN,B.1.552,1.0,2021-04-01,passed_qc,
SEARCH-0463-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0466-IPL,B.1.609,1.0,2021-04-01,passed_qc,
SEARCH-0468-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0469-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0470-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0472-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0473-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0474-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0475-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0476-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0477-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0479-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0481-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0482-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0483-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0484-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0486-IPL,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0487-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0489-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0491-SAN,B.1.576,1.0,2021-04-01,passed_qc,
SEARCH-0492-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0493-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0494-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0495-IPL,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0496-IPL,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0497-IPL,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0499-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0500-IPL,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0501-IPL,B.1.609,1.0,2021-04-01,passed_qc,
SEARCH-0502-SAN,B.1.245,1.0,2021-04-01,passed_qc,
SEARCH-0503-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0505-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0506-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0508-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0512-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0513-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0514-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0515-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0516-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0517-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0518-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0519-IPL,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0520-SAN,B.1.552,1.0,2021-04-01,passed_qc,
SEARCH-0521-IPL,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0522-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0524-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0525-IPL,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0528-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0530-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0531-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0532-SAN,B.1.245,1.0,2021-04-01,passed_qc,
SEARCH-0534-IPL,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0535-SAN,B.1.241,1.0,2021-04-01,passed_qc,
SEARCH-0536-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0538-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0539-IPL,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0541-SAN,B.1.166,1.0,2021-04-01,passed_qc,
